date	grid_prod_4	CI3_app	CI3_light	heat_pump_4__elec_cons
2025-01-01 00:00:00	2.426	2.426	0.0	0.0
2025-01-01 00:10:00	3.84618	3.722	0.12418	0.0
2025-01-01 00:20:00	6.03408	5.884	0.15008	0.0
2025-01-01 00:30:00	5.85038	5.666	0.18438	0.0
2025-01-01 00:40:00	4.12148	3.998	0.12348	0.0
2025-01-01 00:50:00	4.79236	4.67	0.12236	0.0
2025-01-01 01:00:00	5.4997	5.352	0.1477	0.0
2025-01-01 01:10:00	4.29518	4.143	0.15218	0.0
2025-01-01 01:20:00	4.87628	4.659	0.21728	0.0
2025-01-01 01:30:00	4.99068	4.807	0.18368	0.0
2025-01-01 01:40:00	5.11254	4.901	0.21154	0.0
2025-01-01 01:50:00	5.25798	5.049	0.20898	0.0
2025-01-01 02:00:00	5.57866	5.382	0.19666	0.0
2025-01-01 02:10:00	4.11786	3.95	0.16786	0.0
2025-01-01 02:20:00	4.03748	3.963	0.0744799999999999	0.0
2025-01-01 02:30:00	5.40216	5.326	0.0761599999999999	0.0
2025-01-01 02:40:00	5.65448	5.58	0.0744799999999999	0.0
2025-01-01 02:50:00	4.78228	4.677	0.10528	0.0
2025-01-01 03:00:00	3.64142	3.515	0.12642	0.0
2025-01-01 03:10:00	4.36002	4.186	0.17402	0.0
2025-01-01 03:20:00	4.91026	4.776	0.13426	0.0
2025-01-01 03:30:00	7.86156	7.735	0.12656	0.0
2025-01-01 03:40:00	4.46162	4.303	0.15862	0.0
2025-01-01 03:50:00	4.21564	4.121	0.09464	0.0
2025-01-01 04:00:00	5.30716	5.217	0.0901599999999999	0.0
2025-01-01 04:10:00	5.15462	5.059	0.09562	0.0
2025-01-01 04:20:00	5.27276	5.184	0.0887599999999999	0.0
2025-01-01 04:30:00	4.14466	4.079	0.06566	0.0
2025-01-01 04:40:00	4.80516	4.708	0.09716	0.0
2025-01-01 04:50:00	4.80744	4.696	0.11144	0.0
