date	HL_CI4_T_op	HL_CI4_T_air	HL_CI4_theta_c	HL_CE2_T_op	HL_CE2_T_air	HL_CE2_theta_c	HL_CJ1_T_op	HL_CJ1_T_air	HL_CJ1_theta_c	HL_CL1_T_op	HL_CL1_T_air	HL_CL1_theta_c	HL_CI3_T_op	HL_CI3_T_air	HL_CI3_theta_c
2025-01-01 00:00:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 00:10:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 00:20:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 00:30:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 00:40:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 00:50:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 01:00:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 01:10:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 01:20:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 01:30:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 01:40:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 01:50:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 02:00:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 02:10:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 02:20:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 02:30:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 02:40:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 02:50:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 03:00:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 03:10:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 03:20:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
2025-01-01 03:30:00	17.74350649	0	0	17.50392927	0	0	17.50754815	0	0	17.68249534	0	0	16.93586168	0	0
